"TIP_CODI";"CLAU_CODI";"DESC_CODI";"DESC_BREU"
"F25";"DDC  ";"DEVOLUCIO DUPLICADA COBRADA                       ";"DEV.DUPL.COBR.      "
"F25";"DIC  ";"DIFERENCIA COBRADA                                ";"DIFER.COBRADA       "
"F25";"DIT  ";"DIFERENCIA TORNADA                                ";"DIFER.TORNADA       "
"F25";"DO   ";"DESPESES OBERTURA (GESTIO IMPAGATS)               ";"DESP.REOBERTURA-TANC"
"F25";"DPC  ";"DIFER.DOC.PAG.COBRADA                             ";"DIF.D.P.COBRADA     "
"F25";"DPT  ";"DIFER.DOC.PAG.TORNADA                             ";"DIF.D.P.TORNADA     "
"F25";"FIA  ";"FIANÇA                                            ";"FIANÇA              "
"F25";"FIF  ";"FIANÇA FONT                                       ";"FIANÇA FONT         "
"F25";"FIN  ";"FINANÇAMENT                                       ";"FINANÇAMENT         "
"F25";"IVE  ";"IVA ESPECIAL                                      ";"IVA SERVEIS         "
"F25";"IVN  ";"IVA NORMAL (SOLS PER BOQUES)                      ";"IVA                 "
"F25";"PBR  ";"PRODUCTO BRUTO (TAXA OBSOLETA DES DE 01.01.1991)  ";"PRODUCTO BRUTO      "
"F25";"RE   ";"REINTEGRAMENT TORNAT                              ";"REINTEGRAMENT       "
"F25";"SPR  ";"SPRINCKLERS                                       ";"SPRINCKLERS         "
"F25";"TAM  ";"TAMGREM (DES DE 1.3.2000)                         ";"TAMGREM 2000        "
"F25";"TER  ";"CANON TER (TAXA OBSOLETA DES DE 01.01.1991)       ";"CANON TER           "
"R01";"00   ";"EN PROCES DE FACTURACIO                           ";"FACTURACIO          "
"R01";"01   ";"EMESA I CARREGADA A RECAPTACIO                    ";"EMESA               "
"R01";"02   ";"CARREC ENTITAT COBRAMENT                          ";"CARREGADA           "
"R01";"03   ";"COBRADA                                           ";"COBRADA             "
"R01";"04   ";"TORNADA                                           ";"TORNADA             "
"R01";"05   ";"CANCEL·LADA                                       ";"CANCEL·LADA         "
"R01";"06   ";"ANUL·LADA PENDENT REINTEGRAR                      ";"ANUL·LADA           "
"R01";"07   ";"ANUL·LADA I REINTEGRADA                           ";"ANUL·LADA           "
"R01";"08   ";"ANUL·LADA I REINTEGRADA PARCIAL                   ";"ANUL·LADA           "
"R01";"09   ";"ANUL·LADA RECAPTACIO                              ";"ANUL·LADA           "
"R01";"10   ";"ANUL·LADA PER TEMINIS                             ";"ANUL·LADA           "
"R01";"11   ";"CANCEL·LADA I COBRADA                             ";"COBRADA             "
"R01";"12   ";"COBRADA PARCIALMENT                               ";"COBRADA             "
"R01";"13   ";"CANCEL·LADA I TORNADA                             ";"CANCEL·LADA         "
"R01";"14   ";"EN SUSPENSIO DE COBRAMENT                         ";"SUSPESA             "
"R01";"15   ";"FI SUSPENSIO COBRAMENT                            ";"FI SUSPENSIO        "
"R01";"16   ";"TRASPAS ENTITAT COBRAMENT                         ";"TRASPASSADA         "
"R01";"17   ";"COBRAMENT PREVI AGBAR                             ";"COBRADA             "
"R01";"18   ";"PENDENT CANCEL·LAR                                ";"PER CANCEL·LAR      "
"R01";"19   ";"DOCUM. PAG. TORNAT                                ";"TORNADA             "
"R01";"20   ";"AJORNADA                                          ";"AJORNADA            "
"R01";"21   ";"FI AJORNAMENT                                     ";"FI AJORNAMENT       "
"R01";"22   ";"TERMINIS                                          ";"TERMINIS            "
"R01";"23   ";"RECLAMADA AMB CARTA RECORDATORI                   ";"RECLAMADA           "
"R01";"24   ";"RECLAMADA                                         ";"RECLAMADA           "
"R01";"25   ";"RECLAMADA PER XEC TORNAT                          ";"RECLAMADA           "
"R01";"26   ";"AJORNADA I RECLAMADA                              ";"RECLAMADA           "
"R01";"27   ";"AMB TERMINIS I RECLAMADA                          ";"RECLAMADA           "
"R01";"28   ";"SUSPENSIO PER RECURS                              ";"SUS.P.REC           "
"R01";"29   ";"INGRES DIPOSIT RECURS                             ";"SUS.P.REC           "
"R01";"30   ";"EXTINCIO INGRES DIPOSIT RECURS                    ";"SUS.P.REC           "
"R01";"31   ";"PENDENT CARREC MOROSOS                            ";"PEND. CÀRREC        "
"R01";"32   ";"PENDENT CARREC EMPRESA EXTERNA                    ";"PEND. CÀRREC        "
"R01";"33   ";"PENDENT CARREC JURIDIC                            ";"PEND. CÀRREC        "
"R01";"34   ";"ANUL·LADA SENSE REINTEGRAMENT                     ";"ANUL·LADA           "
"R01";"35   ";"ANUL·LADA PENDENT REINT.PARCIAL                   ";"ANUL·LADA           "
"R01";"36   ";"FI RECLAMACIO                                     ";"FI RECLAMACIO       "
"R01";"37   ";"BLOQUEJADA                                        ";"BLOQUEJADA          "
"R01";"38   ";"COBRAMENT PREVI E.EXTERNA                         ";"COBRADA             "
"R01";"39   ";"COBRADA TOTAL                                     ";"COBRADA             "
"R01";"40   ";"CANCEL·LADA CAMPANYA I COBRADA                    ";"COBRADA             "
"R01";"41   ";"FI TERMINI                                        ";"FI TERMINI          "
"R25";"A40  ";"CANON DECLARAT A.C.A.                             ";"CANON DECL          "
"R25";"BAE  ";"CANON BAELLS (TAXA OBSOLETA DES DE 01.01.1991)    ";"C.BAELLS            "
"R25";"BEA  ";"BONIFICACIO EMPLEAT (ACTIUS)                      ";"BON.EMPL.AC         "
"R25";"BEP  ";"BONIFICACIO EMPLEAT (PASIUS)                      ";"BON.EMPL.PA         "
"R25";"BOP  ";"BONIFICACIO PEATGE (VENDES EN ALTA)               ";"BONIF.PEATGE        "
"R25";"BOS  ";"BONIFICACIÓ                                       ";"BONIFICACIÓ         "
"R25";"BSA  ";"BONIFICACIÓ SOCIAL AIGUA                          ";"BONIF. SOCIAL AIGUA "
"R25";"BSQ  ";"BONIFICACIÓ SOCIAL QUOTA                          ";"BONIF. SOCIAL QUOTA "
"R25";"BTD  ";"BONIFICACIO TMTR US DEIXALLERIES                  ";"BONIF.TMTR DEIXALLER"
"R25";"BUF  ";"INDEMNITZACIÓ PER INTERRUPCIÓ SUBMINISTRAMENT     ";"INDEMNITAZCIÓ       "
"R25";"B10  ";"BOQUES 100                                        ";"BOQ. 100            "
"R25";"B25  ";"BOQUES 25                                         ";"BOQUES 25           "
"R25";"B45  ";"BOQUES 45                                         ";"BOQUES 45           "
"R25";"B70  ";"BOQUES 70                                         ";"BOQUES 70           "
"R25";"CAB  ";"CARTA COMPROMÍS CLIENT AIGUA BRUTA                ";"CARTA COMP.C. A.B.  "
"R25";"CAE  ";"CARTA COMPR.AVÍS EX.CONSUM                        ";"CCC.AVÍS.EX.CON.    "
"R25";"CAN  ";"CARTA COMPROMÍS CLIENT AIGUA NO BRUTA             ";"CARTA COMP.C. A.N.B."
"R25";"CAP  ";"CARREC PEATGE (VENDES EN ALTA)                    ";"CARREC PEATGE       "
"R25";"CAS  ";"CARTA COMPR.ALTA SUBMIN.                          ";"CCC.ALTA SUBM.      "
"R25";"CA1  ";"CANON AIGUA DOMESTIC TRAM 1                       ";"TR.1 C.AIGUA DOMESTI"
"R25";"CA2  ";"CANON AIGUA DOMESTIC TRAM 2                       ";"TR.2 C.AIGUA DOMESTI"
"R25";"CA3  ";"CANON AIGUA INDUSTRIAL GRAVAMEN GENERAL           ";"GRAV.G.C.AIGUA INDUS"
"R25";"CA4  ";"CANON AIGUA INDUSTRIAL GRAVAMEN ESPECIFIC         ";"GRAV.E.C.AIGUA INDUS"
"R25";"CA5  ";"I.V.A. CANON AIGUA                                ";"IVA C.AIGUA         "
"R25";"CA6  ";"CANON AIGUA DOMESTIC TRAM 3                       ";"TR.3 C.AIGUA DOMESTI"
"R25";"CA7  ";"CANON AIGUA DOMESTIC TRAM 4                       ";"TR.4 C.AIGUA DOMESTI"
"R25";"CD   ";"COBRAMENT DUPLICAT TORNAT                         ";"COBRAMENT DUPLICAT  "
"R25";"CEO  ";"CARTA COMPR.EX.OPER.COMER.                        ";"CCC.OPER.COMER.     "
"R25";"CIT  ";"CARTA COMPROMÍS CLIENT CITES                      ";"CARTA COMP. CLI.CIT."
"R25";"CL1  ";"TRAM 1 TAXA CLAVEGUERAM                           ";"TR.1 CLAVEGUERAM    "
"R25";"CL2  ";"TRAM 2 TAXA CLAVEGUERAM                           ";"TR.2 CLAVEGUERAM    "
"R25";"CL3  ";"CLAVEGUERAM APB                                   ";"CLAVEGUERAM APB     "
"R25";"CL4  ";"IVA CLAVEGUERAM APB                               ";"IVA CLAVEGUERAM APB "
"R25";"CL5  ";"CLAVEGUERAM SOREA-BOTIGUES DE SITGES              ";"CLAVEGUERAM SOREA   "
"R25";"CL6  ";"IVA CLAVEGUERAM SOREA-BOTIGUES DE SITGES          ";"IVA CLAVEG. SOREA   "
"R25";"CN   ";"CANVIS DE NOM                                     ";"CANVI NOM           "
"R25";"CN1  ";"REPERCUSSIO CANON AIGUA DOMESTIC TRAM 1           ";"TR.1 CA. AB DOMESTIC"
"R25";"CN2  ";"REPERCUSSIO CANON AIGUA DOMESTIC TRAM 2           ";"TR.2 CA. AB DOMESTIC"
"R25";"CN3  ";"REPERCUSSIO CANON AIGUA IND. GRAVAMEN GENERAL     ";"GRAV.G.CA. AB INDUS "
"R25";"CN4  ";"REPERCUSSIO CANON AIGUA IND. GRAVAMEN ESPECIFIC   ";"GRAV.E.CA. AB INDUS "
"R25";"CN6  ";"REPERCUSSIO CANON AIGUA DOMESTIC TRAM 3           ";"TR.3 CA. AB DOMESTIC"
"R25";"CN7  ";"REPERCUSSIO CANON AIGUA DOMESTIC TRAM 4           ";"TR.4 CA. AB DOMESTIC"
"R25";"CON  ";"CONSERVACIO COMPTADOR (AJT. BARCELONA)            ";"CONSERV.COMPTADOR   "
"R25";"CPF  ";"CARTA COMPR.PRECIS.FACTUR.                        ";"CCC.PREC.FACT.      "
"R25";"CR   ";"CARTES DE RECLAMACIO (GESTIO IMPAGATS)            ";"CART.RECLAMACIO     "
"R25";"CRR  ";"CARTA COMPR.RESPOSTA RECL.                        ";"CCC.RESP.RECL.      "
"R25";"CTG  ";"C.T.G.SUBM (TAXA OBSOLETA DES DE 01.01.1991)      ";"C.T.G.S.            "
"R25";"C01  ";"IMPORT CONTRACTE SGAB                             ";"IMP.CTE.SGAB.       "
"R25";"C02  ";"IVA CONTRACTE SGAB                                ";"IVA.CTE.SGAB.       "
"R25";"C03  ";"IMPORT CONTRACTE MUSA                             ";"IMP.CTE.MUSA.       "
"R25";"C04  ";"IVA CONTRACTE MUSA                                ";"IVA.CTE.MUSA.       "
"R25";"DDC  ";"DEVOLUCIO DUPLICADA COBRADA                       ";"DEV.DUPL.COBR.      "
"R25";"DIC  ";"DIFERENCIA COBRADA                                ";"DIFER.COBRADA       "
"R25";"DIT  ";"DIFERENCIA TORNADA                                ";"DIFER.TORNADA       "
"R25";"DO   ";"DESPESES OBERTURA (GESTIO IMPAGATS)               ";"DESP.OBERTURA       "
"R25";"DPC  ";"DIFER.DOC.PAG.COBRADA                             ";"DIF.D.P.COBRADA     "
"R25";"DPT  ";"DIFER.DOC.PAG.TORNADA                             ";"DIF.D.P.TORNADA     "
"R25";"FIA  ";"FIANÇA                                            ";"FIANÇA              "
"R25";"FIF  ";"FIANÇA FONT                                       ";"FIANÇA FONT         "
"R25";"FIN  ";"FINANÇAMENT                                       ";"FINANÇAMENT         "
"R25";"IVE  ";"IVA ESPECIAL                                      ";"IVA ESPECIAL        "
"R25";"IVN  ";"IVA NORMAL (SOLS PER BOQUES)                      ";"IVA NORMAL          "
"R25";"PBR  ";"PRODUCTO BRUTO (TAXA OBSOLETA DES DE 01.01.1991)  ";"P.BRUTO             "
"R25";"RE   ";"REINTEGRAMENT TORNAT                              ";"REINTEGRAMENT       "
"R25";"SPR  ";"SPRINCKLERS                                       ";"SPRINCKLERS         "
"R25";"TAM  ";"TAMGREM (DES DE 1.3.2000)                         ";"TAMGREM 2000        "
"R25";"TER  ";"CANON TER (TAXA OBSOLETA DES DE 01.01.1991)       ";"CANON TER           "
"THL";"A    ";"TIPUS D'HABITATGE A                               ";""
"THL";"B    ";"TIPUS D'HABITATGE B                               ";"TIPUS D'HABITATGE B "
"THL";"C    ";"TIPUS D'HABITATGE C                               ";"TIPUS D'HABITATGE C "
"THL";"D    ";"TIPUS D'HABITATGE D                               ";"TIPUS D'HABITATGE D "
"THL";"E    ";"TIPUS D'HABITATGE E                               ";"TIPUS D'HABITATGE E "
"THL";"F    ";"TIPUS D'HABITATGE F                               ";"TIPUS D'HABITATGE F "
"THL";"G    ";"TIPUS D'HABITATGE G                               ";"TIPUS D'HABITATGE G "
"THL";"H    ";"TIPUS D'HABITATGE H                               ";"TIPUS D'HABITATGE H "
"THL";"I    ";"TIPUS D'HABITATGE I                               ";"TIPUS D'HABITATGE I "
"THL";"O    ";"TIPUS D'HABITATGE O (OBRES)                       ";"TIPUS D'HABITATGE O "
"THL";"U    ";"TIPUS D'HABITATGE U (US COMUNITARI)               ";"TIPUS D'HABITATGE U "
"THL";"W    ";"TIPUS D'HABITATGE W (NO DOMESTIC)                 ";"TIPUS D'HABITATGE W "
"THL";"X    ";"TIPUS D'HABITATGE X (DESCONEGUT)                  ";"TIPUS D'HABITATGE X "
"TSS";"C    ";"CONVENI                                           ";"CONVENI             "
"TSS";"D    ";"SUBMINISTRAMENT COMPTADOR DIVISIONARI             ";"COMPT.DIV           "
"TSS";"E    ";"SUBMINISTRAMENT AFORAMENT DIVISIONARI             ";"AFORA.DIV           "
"TSS";"F    ";"FRAU                                              ";"FRAU                "
"TSS";"G    ";"SUBMINISTRAMENT COMPTADOR GENERAL                 ";"COMPT.GEN           "
"TSS";"I    ";"SERVEI EQUIP C.INCENDIS                           ";"C.INCENDI           "
"TSS";"M    ";"SUBMINISTRAMENT AFORAMENT GENERAL                 ";"AFORA.GEN           "
"TSS";"R    ";"SERVEI BOCA DE REG                                ";"BOCA REG            "
"TSS";"V    ";"VARIS (NO S'USA)                                  ";"VARIS               "
"TSS";"X    ";"SUBMIN.DESCALC.-DOSIFICADOR (NO S'USA)            ";"DOSIFICAD           "
"US ";"0    ";"DOMESTIC                                          ";"DOMESTIC            "
"US ";"1    ";"DOMESTIC                                          ";"DOMESTIC            "
"US ";"2    ";"COMERCIAL                                         ";"COMERCIAL           "
"US ";"3    ";"COMERCIAL (DOM.+COM.)                             ";"COM(D+C)            "
"US ";"4    ";"INDUSTRIAL                                        ";"INDSTRIAL           "
"US ";"5    ";"INDUSTRIAL (DOM.+INDUS.)                          ";"IND(D+I)            "
"US ";"6    ";"INDUSTRIAL (COM,+INDUS.)                          ";"IND(C+I)            "
"US ";"7    ";"INDUSTRIAL (DOM.+COM.+INDUS.)                     ";"IN(D+C+I)           "
"US ";"8    ";"COMERCIAL                                         ";"COMERCIAL           "
"US ";"9    ";"INDUSTRIAL                                        ";"INDUSTRIAL          "
