POLISSA_SUBM;DATA_FIN_FACT;CALCUL_CONSUM_SERV;DIES_CONSUM_SERV;NOMB_BOQ_25_SERV;NOMB_BOQ_45_SERV;NOMB_BOQ_70_SERV;NOMB_BOQ_100_SERV;NOMB_SPRINCK_SERV;ID_BUTLLETA;ID_LOT_LECT;ANY_CALENDARI;MES_CALENDARI
S000000096;2022-09-10;CI;31;1;1;1;0;20;S;L01;22;09
S000000096;2022-10-10;CI;30;1;1;1;0;20;S;L01;22;10
S000000096;2022-11-10;CI;31;1;1;1;0;20;S;L01;22;11
S000000096;2022-12-10;CI;30;1;1;1;0;20;S;L01;22;12
S000000096;2023-01-10;CI;31;1;1;1;0;20;S;L01;23;01
S000000096;2023-02-10;CI;31;1;1;1;0;20;S;L01;23;02
S000000096;2023-03-10;CI;28;1;1;1;0;20;S;L01;23;03
S000000096;2023-04-10;CI;31;1;1;1;0;20;S;L01;23;04
S000000096;2023-05-10;CI;30;1;1;1;0;20;S;L01;23;05
S000000096;2023-06-10;CI;31;1;1;1;0;20;S;L01;23;06
S000000096;2023-07-10;CI;30;1;1;1;0;20;S;L01;23;07
S000000096;2023-08-10;CI;31;1;1;1;0;20;S;L01;23;08
S000000096;2023-09-10;CI;31;1;1;1;0;20;S;L01;23;09
S000000096;2023-10-10;CI;30;1;1;1;0;20;S;L01;23;10
S000000096;2023-11-10;CI;31;1;1;1;0;20;S;L01;23;11
S000000096;2023-12-10;CI;30;1;1;1;0;20;S;L01;23;12
S000000096;2024-01-10;CI;31;1;1;1;0;20;S;L01;24;01
S000000096;2024-02-10;CI;31;1;1;1;0;20;S;L01;24;02
S000000096;2024-03-10;CI;29;1;1;1;0;20;S;L01;24;03
S000000096;2024-04-10;CI;31;1;1;1;0;20;S;L01;24;04
S000000096;2024-05-10;CI;30;1;1;1;0;20;S;L01;24;05
S000000096;2024-06-10;CI;31;1;1;1;0;20;S;L01;24;06
S000000096;2024-07-10;CI;30;1;1;1;0;20;S;L01;24;07
S000000096;2024-08-10;CI;31;1;1;1;0;20;S;L01;24;08
S000000096;2024-09-10;CI;31;1;1;1;0;20;S;L01;24;09
S000000096;2024-10-10;CI;30;1;1;1;0;20;S;L01;24;10
S000000096;2024-11-10;CI;31;1;1;1;0;20;S;L01;24;11
S000000096;2024-12-10;CI;30;1;1;1;0;20;S;L01;24;12
S000000096;2025-01-10;CI;31;1;1;1;0;20;S;L01;25;01
S000000096;2025-02-10;CI;31;1;1;1;0;20;S;L01;25;02
S000000096;2025-03-10;CI;28;1;1;1;0;20;S;L01;25;03
S000000096;2025-04-10;CI;31;1;1;1;0;20;S;L01;25;04
S000000096;2025-05-10;CI;30;1;1;1;0;20;S;L01;25;05
S000000096;2025-06-10;CI;31;1;1;1;0;20;S;L01;25;06
S000000096;2025-07-10;CI;30;1;1;1;0;20;S;L01;25;07
S000000096;2025-08-10;CI;31;1;1;1;0;20;S;L01;25;08
S000000096;2025-09-10;CI;31;1;1;1;0;20;S;L01;25;09
S000000096;2025-10-10;CI;30;1;1;1;0;20;S;L01;25;10
S000000096;2025-11-10;CI;31;1;1;1;0;20;S;L01;25;11
S000000096;2025-12-10;CI;30;1;1;1;0;20;S;L01;25;12
S000000096;2026-01-10;CI;31;1;1;1;0;20;S;L01;26;01
S000000096;2026-02-10;CI;31;1;1;1;0;20;S;L01;26;02
S000000096;2026-03-10;CI;28;1;1;1;0;20;S;L01;26;03
S000000096;2026-04-10;CI;31;1;1;1;0;20;S;L01;26;04
S000000096;2026-05-10;CI;30;1;1;1;0;20;S;L01;26;05
S000000096;2026-06-10;CI;31;1;1;1;0;20;S;L01;26;06
S000000096;2026-07-10;CI;30;1;1;1;0;20;S;L01;26;07
S000000096;2026-08-10;CI;31;1;1;1;0;20;S;L01;26;08
S000000097;2021-03-10;CI;25;1;1;1;0;20;S;L01;21;03
S000000097;2021-04-10;CI;31;1;1;1;0;20;S;L01;21;04
S000000097;2021-05-10;CI;30;1;1;1;0;20;S;L01;21;05
S000000097;2021-06-10;CI;31;1;1;1;0;20;S;L01;21;06
S000000097;2021-07-10;CI;30;1;1;1;0;20;S;L01;21;07
S000000097;2021-08-10;CI;31;1;1;1;0;20;S;L01;21;08
S000000097;2021-09-10;CI;31;1;1;1;0;20;S;L01;21;09
S000000097;2021-10-10;CI;30;1;1;1;0;20;S;L01;21;10
S000000097;2021-11-10;CI;31;1;1;1;0;20;S;L01;21;11
S000000097;2021-12-10;CI;30;1;1;1;0;20;S;L01;21;12
S000000097;2022-01-10;CI;31;1;1;1;0;20;S;L01;22;01
S000000097;2022-02-10;CI;31;1;1;1;0;20;S;L01;22;02
S000000097;2022-03-10;CI;28;1;1;1;0;20;S;L01;22;03
S000000097;2022-04-10;CI;31;1;1;1;0;20;S;L01;22;04
S000000097;2022-05-10;CI;30;1;1;1;0;20;S;L01;22;05
S000000097;2022-06-10;CI;31;1;1;1;0;20;S;L01;22;06
S000000097;2022-07-10;CI;30;1;1;1;0;20;S;L01;22;07
S000000097;2022-08-10;CI;31;1;1;1;0;20;S;L01;22;08
S000000097;2022-09-10;CI;31;1;1;1;0;20;S;L01;22;09
S000000097;2022-10-10;CI;30;1;1;1;0;20;S;L01;22;10
S000000097;2022-11-10;CI;31;1;1;1;0;20;S;L01;22;11
S000000097;2022-12-10;CI;30;1;1;1;0;20;S;L01;22;12
S000000097;2023-01-10;CI;31;1;1;1;0;20;S;L01;23;01
S000000097;2023-02-10;CI;31;1;1;1;0;20;S;L01;23;02
S000000097;2023-03-10;CI;28;1;1;1;0;20;S;L01;23;03
S000000097;2023-04-10;CI;31;1;1;1;0;20;S;L01;23;04
S000000097;2023-05-10;CI;30;1;1;1;0;20;S;L01;23;05
S000000097;2023-06-10;CI;31;1;1;1;0;20;S;L01;23;06
S000000097;2023-07-10;CI;30;1;1;1;0;20;S;L01;23;07
S000000097;2023-08-10;CI;31;1;1;1;0;20;S;L01;23;08
S000000097;2023-09-10;CI;31;1;1;1;0;20;S;L01;23;09
S000000097;2023-10-10;CI;30;1;1;1;0;20;S;L01;23;10
S000000097;2023-11-10;CI;31;1;1;1;0;20;S;L01;23;11
S000000097;2023-12-10;CI;30;1;1;1;0;20;S;L01;23;12
S000000097;2024-01-10;CI;31;1;1;1;0;20;S;L01;24;01
S000000097;2024-02-10;CI;31;1;1;1;0;20;S;L01;24;02
S000000097;2024-03-10;CI;29;1;1;1;0;20;S;L01;24;03
S000000097;2024-04-10;CI;31;1;1;1;0;20;S;L01;24;04
S000000097;2024-05-10;CI;30;1;1;1;0;20;S;L01;24;05
S000000097;2024-06-10;CI;31;1;1;1;0;20;S;L01;24;06
S000000097;2024-07-10;CI;30;1;1;1;0;20;S;L01;24;07
S000000097;2024-08-10;CI;31;1;1;1;0;20;S;L01;24;08
S000000097;2024-09-10;CI;31;1;1;1;0;20;S;L01;24;09
S000000097;2024-10-10;CI;30;1;1;1;0;20;S;L01;24;10
S000000097;2024-11-10;CI;31;1;1;1;0;20;S;L01;24;11
S000000097;2024-12-10;CI;30;1;1;1;0;20;S;L01;24;12
S000000097;2025-01-10;CI;31;1;1;1;0;20;S;L01;25;01
S000000097;2025-02-10;CI;31;1;1;1;0;20;S;L01;25;02
S000000097;2025-03-10;CI;28;1;1;1;0;20;S;L01;25;03
S000000097;2025-04-10;CI;31;1;1;1;0;20;S;L01;25;04
S000000097;2025-05-10;CI;30;1;1;1;0;20;S;L01;25;05
S000000097;2025-06-10;CI;31;1;1;1;0;20;S;L01;25;06
S000000097;2025-07-10;CI;30;1;1;1;0;20;S;L01;25;07
S000000097;2025-08-10;CI;31;1;1;1;0;20;S;L01;25;08
S000000097;2025-09-10;CI;31;1;1;1;0;20;S;L01;25;09
S000000097;2025-10-10;CI;30;1;1;1;0;20;S;L01;25;10
S000000097;2025-11-10;CI;31;1;1;1;0;20;S;L01;25;11
S000000097;2025-12-10;CI;30;1;1;1;0;20;S;L01;25;12
S000000097;2026-01-10;CI;31;1;1;1;0;20;S;L01;26;01
S000000097;2026-02-10;CI;31;1;1;1;0;20;S;L01;26;02
S000000097;2026-03-10;CI;28;1;1;1;0;20;S;L01;26;03
S000000097;2026-04-10;CI;31;1;1;1;0;20;S;L01;26;04
S000000097;2026-05-10;CI;30;1;1;1;0;20;S;L01;26;05
S000000097;2026-06-10;CI;31;1;1;1;0;20;S;L01;26;06
S000000097;2026-07-10;CI;30;1;1;1;0;20;S;L01;26;07
S000000097;2026-08-10;CI;31;1;1;1;0;20;S;L01;26;08
S000000098;2022-04-10;CI;27;1;1;1;0;20;S;L01;22;04
S000000098;2022-05-10;CI;30;1;1;1;0;20;S;L01;22;05
S000000098;2022-06-10;CI;31;1;1;1;0;20;S;L01;22;06
S000000098;2022-07-10;CI;30;1;1;1;0;20;S;L01;22;07
S000000098;2022-08-10;CI;31;1;1;1;0;20;S;L01;22;08
S000000098;2022-09-10;CI;31;1;1;1;0;20;S;L01;22;09
S000000098;2022-10-10;CI;30;1;1;1;0;20;S;L01;22;10
S000000098;2022-11-10;CI;31;1;1;1;0;20;S;L01;22;11
S000000098;2022-12-10;CI;30;1;1;1;0;20;S;L01;22;12
S000000098;2023-01-10;CI;31;1;1;1;0;20;S;L01;23;01
S000000098;2023-02-10;CI;31;1;1;1;0;20;S;L01;23;02
S000000098;2023-03-10;CI;28;1;1;1;0;20;S;L01;23;03
S000000098;2023-04-10;CI;31;1;1;1;0;20;S;L01;23;04
S000000098;2023-05-10;CI;30;1;1;1;0;20;S;L01;23;05
S000000098;2023-06-10;CI;31;1;1;1;0;20;S;L01;23;06
S000000098;2023-07-10;CI;30;1;1;1;0;20;S;L01;23;07
S000000098;2023-08-10;CI;31;1;1;1;0;20;S;L01;23;08
S000000098;2023-09-10;CI;31;1;1;1;0;20;S;L01;23;09
S000000098;2023-10-10;CI;30;1;1;1;0;20;S;L01;23;10
S000000098;2023-11-10;CI;31;1;1;1;0;20;S;L01;23;11
S000000098;2023-12-10;CI;30;1;1;1;0;20;S;L01;23;12
S000000098;2024-01-10;CI;31;1;1;1;0;20;S;L01;24;01
S000000098;2024-02-10;CI;31;1;1;1;0;20;S;L01;24;02
S000000098;2024-03-10;CI;29;1;1;1;0;20;S;L01;24;03
S000000098;2024-04-10;CI;31;1;1;1;0;20;S;L01;24;04
S000000098;2024-05-10;CI;30;1;1;1;0;20;S;L01;24;05
S000000098;2024-06-10;CI;31;1;1;1;0;20;S;L01;24;06
S000000098;2024-07-10;CI;30;1;1;1;0;20;S;L01;24;07
S000000098;2024-08-10;CI;31;1;1;1;0;20;S;L01;24;08
S000000098;2024-09-10;CI;31;1;1;1;0;20;S;L01;24;09
S000000098;2024-10-10;CI;30;1;1;1;0;20;S;L01;24;10
S000000098;2024-11-10;CI;31;1;1;1;0;20;S;L01;24;11
S000000098;2024-12-10;CI;30;1;1;1;0;20;S;L01;24;12
S000000098;2025-01-10;CI;31;1;1;1;0;20;S;L01;25;01
S000000098;2025-02-10;CI;31;1;1;1;0;20;S;L01;25;02
S000000098;2025-03-10;CI;28;1;1;1;0;20;S;L01;25;03
S000000098;2025-04-10;CI;31;1;1;1;0;20;S;L01;25;04
S000000098;2025-04-17;CI;7;1;1;1;0;20;S;L01;25;04
S000000099;2023-05-10;CI;25;1;1;1;0;20;S;L01;23;05
S000000099;2023-06-10;CI;31;1;1;1;0;20;S;L01;23;06
S000000099;2023-07-10;CI;30;1;1;1;0;20;S;L01;23;07
S000000099;2023-08-10;CI;31;1;1;1;0;20;S;L01;23;08
S000000099;2023-09-10;CI;31;1;1;1;0;20;S;L01;23;09
S000000099;2023-10-10;CI;30;1;1;1;0;20;S;L01;23;10
S000000099;2023-11-10;CI;31;1;1;1;0;20;S;L01;23;11
S000000099;2023-12-10;CI;30;1;1;1;0;20;S;L01;23;12
S000000099;2024-01-10;CI;31;1;1;1;0;20;S;L01;24;01
S000000099;2024-02-10;CI;31;1;1;1;0;20;S;L01;24;02
S000000099;2024-03-10;CI;29;1;1;1;0;20;S;L01;24;03
S000000099;2024-04-10;CI;31;1;1;1;0;20;S;L01;24;04
S000000099;2024-05-10;CI;30;1;1;1;0;20;S;L01;24;05
S000000099;2024-06-10;CI;31;1;1;1;0;20;S;L01;24;06
S000000099;2024-07-10;CI;30;1;1;1;0;20;S;L01;24;07
S000000099;2024-08-10;CI;31;1;1;1;0;20;S;L01;24;08
S000000099;2024-09-10;CI;31;1;1;1;0;20;S;L01;24;09
S000000099;2024-10-10;CI;30;1;1;1;0;20;S;L01;24;10
S000000099;2024-11-08;CI;29;1;1;1;0;20;S;L01;24;11
S000000100;2024-06-10;CI;25;1;1;1;0;20;S;L01;24;06
S000000100;2024-07-10;CI;30;1;1;1;0;20;S;L01;24;07
S000000100;2024-08-10;CI;31;1;1;1;0;20;S;L01;24;08
S000000100;2024-09-10;CI;31;1;1;1;0;20;S;L01;24;09
S000000100;2024-10-10;CI;30;1;1;1;0;20;S;L01;24;10
S000000100;2024-11-10;CI;31;1;1;1;0;20;S;L01;24;11
S000000100;2024-12-10;CI;30;1;1;1;0;20;S;L01;24;12
S000000100;2025-01-10;CI;31;1;1;1;0;20;S;L01;25;01
S000000100;2025-02-10;CI;31;1;1;1;0;20;S;L01;25;02
S000000100;2025-03-10;CI;28;1;1;1;0;20;S;L01;25;03
S000000100;2025-04-10;CI;31;1;1;1;0;20;S;L01;25;04
S000000100;2025-05-10;CI;30;1;1;1;0;20;S;L01;25;05
S000000100;2025-06-10;CI;31;1;1;1;0;20;S;L01;25;06
S000000100;2025-07-10;CI;30;1;1;1;0;20;S;L01;25;07
S000000100;2025-08-10;CI;31;1;1;1;0;20;S;L01;25;08
S000000100;2025-09-10;CI;31;1;1;1;0;20;S;L01;25;09
S000000100;2025-10-10;CI;30;1;1;1;0;20;S;L01;25;10
S000000100;2025-11-10;CI;31;1;1;1;0;20;S;L01;25;11
S000000100;2025-12-10;CI;30;1;1;1;0;20;S;L01;25;12
S000000100;2026-01-10;CI;31;1;1;1;0;20;S;L01;26;01
S000000100;2026-02-10;CI;31;1;1;1;0;20;S;L01;26;02
S000000100;2026-03-10;CI;28;1;1;1;0;20;S;L01;26;03
S000000100;2026-04-10;CI;31;1;1;1;0;20;S;L01;26;04
S000000100;2026-05-10;CI;30;1;1;1;0;20;S;L01;26;05
S000000100;2026-06-10;CI;31;1;1;1;0;20;S;L01;26;06
S000000100;2026-07-10;CI;30;1;1;1;0;20;S;L01;26;07
S000000100;2026-08-10;CI;31;1;1;1;0;20;S;L01;26;08
