NUM_PARTICIO;ID_EMPRESA;ANY_FACTURA;NUM_FACTURA;NUM_LINEA;NUM_CONCEPTE;BASE_CONCEPTE;TIP_TAXA_CONCEP;PREU_CONCEPTE;IMP_CONCEPTE;IVA_APLICAT_CONC;OBSER_CONCEPTE
1;AB;2022;4;1;CA1;9;M;0.5;4.5;0.0;Canon tram 1
1;AB;2022;4;2;CA2;2;M;1.0;2.0;0.0;Canon tram 2
1;AB;2022;4;3;CA5;6.5;P;10.0;0.65;10.0;IVA canon
1;AB;2022;4;4;CL1;11;M;0.4;4.4;0.0;Clavegueram tram 1
1;AB;2022;4;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2022;5;1;CA1;9;M;0.5;4.5;0.0;Canon tram 1
1;AB;2022;5;2;CA2;1;M;1.0;1.0;0.0;Canon tram 2
1;AB;2022;5;3;CA5;5.5;P;10.0;0.55;10.0;IVA canon
1;AB;2022;5;4;CL1;10;M;0.4;4.0;0.0;Clavegueram tram 1
1;AB;2022;5;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2022;6;1;CA1;9;M;0.5;4.5;0.0;Canon tram 1
1;AB;2022;6;2;CA2;2;M;1.0;2.0;0.0;Canon tram 2
1;AB;2022;6;3;CA5;6.5;P;10.0;0.65;10.0;IVA canon
1;AB;2022;6;4;CL1;11;M;0.4;4.4;0.0;Clavegueram tram 1
1;AB;2022;6;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2022;7;1;CA1;9;M;0.5;4.5;0.0;Canon tram 1
1;AB;2022;7;2;CA2;2;M;1.0;2.0;0.0;Canon tram 2
1;AB;2022;7;3;CA5;6.5;P;10.0;0.65;10.0;IVA canon
1;AB;2022;7;4;CL1;11;M;0.4;4.4;0.0;Clavegueram tram 1
1;AB;2022;7;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2022;8;1;CA1;9;M;0.5;4.5;0.0;Canon tram 1
1;AB;2022;8;2;CA2;2;M;1.0;2.0;0.0;Canon tram 2
1;AB;2022;8;3;CA5;6.5;P;10.0;0.65;10.0;IVA canon
1;AB;2022;8;4;CL1;11;M;0.4;4.4;0.0;Clavegueram tram 1
1;AB;2022;8;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2022;9;1;CA1;9;M;0.5;4.5;0.0;Canon tram 1
1;AB;2022;9;2;CA2;2;M;1.0;2.0;0.0;Canon tram 2
1;AB;2022;9;3;CA5;6.5;P;10.0;0.65;10.0;IVA canon
1;AB;2022;9;4;CL1;11;M;0.4;4.4;0.0;Clavegueram tram 1
1;AB;2022;9;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2022;10;1;CA1;9;M;0.5;4.5;0.0;Canon tram 1
1;AB;2022;10;2;CA5;4.5;P;10.0;0.45;10.0;IVA canon
1;AB;2022;10;3;CL1;9;M;0.4;3.6;0.0;Clavegueram tram 1
1;AB;2022;10;4;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2022;11;1;CA1;9;M;0.5;4.5;0.0;Canon tram 1
1;AB;2022;11;2;CA5;4.5;P;10.0;0.45;10.0;IVA canon
1;AB;2022;11;3;CL1;9;M;0.4;3.6;0.0;Clavegueram tram 1
1;AB;2022;11;4;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2022;12;1;CA1;9;M;0.5;4.5;0.0;Canon tram 1
1;AB;2022;12;2;CA2;1;M;1.0;1.0;0.0;Canon tram 2
1;AB;2022;12;3;CA5;5.5;P;10.0;0.55;10.0;IVA canon
1;AB;2022;12;4;CL1;10;M;0.4;4.0;0.0;Clavegueram tram 1
1;AB;2022;12;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2023;1;1;CA1;9;M;0.5;4.5;0.0;Canon tram 1
1;AB;2023;1;2;CA2;1;M;1.0;1.0;0.0;Canon tram 2
1;AB;2023;1;3;CA5;5.5;P;10.0;0.55;10.0;IVA canon
1;AB;2023;1;4;CL1;10;M;0.4;4.0;0.0;Clavegueram tram 1
1;AB;2023;1;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2023;2;1;CA1;9;M;0.5;4.5;0.0;Canon tram 1
1;AB;2023;2;2;CA5;4.5;P;10.0;0.45;10.0;IVA canon
1;AB;2023;2;3;CL1;9;M;0.4;3.6;0.0;Clavegueram tram 1
1;AB;2023;2;4;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2023;3;1;CA1;9;M;0.5;4.5;0.0;Canon tram 1
1;AB;2023;3;2;CA2;2;M;1.0;2.0;0.0;Canon tram 2
1;AB;2023;3;3;CA5;6.5;P;10.0;0.65;10.0;IVA canon
1;AB;2023;3;4;CL1;11;M;0.4;4.4;0.0;Clavegueram tram 1
1;AB;2023;3;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2023;4;1;CA1;9;M;0.5;4.5;0.0;Canon tram 1
1;AB;2023;4;2;CA5;4.5;P;10.0;0.45;10.0;IVA canon
1;AB;2023;4;3;CL1;9;M;0.4;3.6;0.0;Clavegueram tram 1
1;AB;2023;4;4;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2023;5;1;CA1;9;M;0.5;4.5;0.0;Canon tram 1
1;AB;2023;5;2;CA2;2;M;1.0;2.0;0.0;Canon tram 2
1;AB;2023;5;3;CA5;6.5;P;10.0;0.65;10.0;IVA canon
1;AB;2023;5;4;CL1;11;M;0.4;4.4;0.0;Clavegueram tram 1
1;AB;2023;5;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2023;6;1;CA1;9;M;0.5;4.5;0.0;Canon tram 1
1;AB;2023;6;2;CA2;1;M;1.0;1.0;0.0;Canon tram 2
1;AB;2023;6;3;CA5;5.5;P;10.0;0.55;10.0;IVA canon
1;AB;2023;6;4;CL1;10;M;0.4;4.0;0.0;Clavegueram tram 1
1;AB;2023;6;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2023;7;1;CA1;9;M;0.5;4.5;0.0;Canon tram 1
1;AB;2023;7;2;CA2;1;M;1.0;1.0;0.0;Canon tram 2
1;AB;2023;7;3;CA5;5.5;P;10.0;0.55;10.0;IVA canon
1;AB;2023;7;4;CL1;10;M;0.4;4.0;0.0;Clavegueram tram 1
1;AB;2023;7;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2023;8;1;CA1;9;M;0.5;4.5;0.0;Canon tram 1
1;AB;2023;8;2;CA2;3;M;1.0;3.0;0.0;Canon tram 2
1;AB;2023;8;3;CA5;7.5;P;10.0;0.75;10.0;IVA canon
1;AB;2023;8;4;CL1;12;M;0.4;4.8;0.0;Clavegueram tram 1
1;AB;2023;8;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2023;9;1;CA1;9;M;0.5;4.5;0.0;Canon tram 1
1;AB;2023;9;2;CA2;1;M;1.0;1.0;0.0;Canon tram 2
1;AB;2023;9;3;CA5;5.5;P;10.0;0.55;10.0;IVA canon
1;AB;2023;9;4;CL1;10;M;0.4;4.0;0.0;Clavegueram tram 1
1;AB;2023;9;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2023;10;1;CA1;9;M;0.5;4.5;0.0;Canon tram 1
1;AB;2023;10;2;CA5;4.5;P;10.0;0.45;10.0;IVA canon
1;AB;2023;10;3;CL1;9;M;0.4;3.6;0.0;Clavegueram tram 1
1;AB;2023;10;4;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2023;11;1;CA1;9;M;0.5;4.5;0.0;Canon tram 1
1;AB;2023;11;2;CA5;4.5;P;10.0;0.45;10.0;IVA canon
1;AB;2023;11;3;CL1;9;M;0.4;3.6;0.0;Clavegueram tram 1
1;AB;2023;11;4;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2023;12;1;CA1;9;M;0.5;4.5;0.0;Canon tram 1
1;AB;2023;12;2;CA5;4.5;P;10.0;0.45;10.0;IVA canon
1;AB;2023;12;3;CL1;9;M;0.4;3.6;0.0;Clavegueram tram 1
1;AB;2023;12;4;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2024;1;1;CA1;9;M;0.6;5.4;0.0;Canon tram 1
1;AB;2024;1;2;CA5;5.4;P;10.0;0.54;10.0;IVA canon
1;AB;2024;1;3;CL1;9;M;0.4;3.6;0.0;Clavegueram tram 1
1;AB;2024;1;4;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2024;2;1;CA1;9;M;0.6;5.4;0.0;Canon tram 1
1;AB;2024;2;2;CA2;1;M;1.2;1.2;0.0;Canon tram 2
1;AB;2024;2;3;CA5;6.6;P;10.0;0.66;10.0;IVA canon
1;AB;2024;2;4;CL1;10;M;0.4;4.0;0.0;Clavegueram tram 1
1;AB;2024;2;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2024;3;1;CA1;9;M;0.6;5.4;0.0;Canon tram 1
1;AB;2024;3;2;CA2;1;M;1.2;1.2;0.0;Canon tram 2
1;AB;2024;3;3;CA5;6.6;P;10.0;0.66;10.0;IVA canon
1;AB;2024;3;4;CL1;10;M;0.4;4.0;0.0;Clavegueram tram 1
1;AB;2024;3;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2024;4;1;CA1;9;M;0.6;5.4;0.0;Canon tram 1
1;AB;2024;4;2;CA2;1;M;1.2;1.2;0.0;Canon tram 2
1;AB;2024;4;3;CA5;6.6;P;10.0;0.66;10.0;IVA canon
1;AB;2024;4;4;CL1;10;M;0.4;4.0;0.0;Clavegueram tram 1
1;AB;2024;4;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2024;5;1;CA1;9;M;0.6;5.4;0.0;Canon tram 1
1;AB;2024;5;2;CA2;1;M;1.2;1.2;0.0;Canon tram 2
1;AB;2024;5;3;CA5;6.6;P;10.0;0.66;10.0;IVA canon
1;AB;2024;5;4;CL1;10;M;0.4;4.0;0.0;Clavegueram tram 1
1;AB;2024;5;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2024;6;1;CA1;9;M;0.6;5.4;0.0;Canon tram 1
1;AB;2024;6;2;CA2;3;M;1.2;3.6;0.0;Canon tram 2
1;AB;2024;6;3;CA5;9.0;P;10.0;0.9;10.0;IVA canon
1;AB;2024;6;4;CL1;12;M;0.4;4.8;0.0;Clavegueram tram 1
1;AB;2024;6;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2024;7;1;CA1;9;M;0.6;5.4;0.0;Canon tram 1
1;AB;2024;7;2;CA2;3;M;1.2;3.6;0.0;Canon tram 2
1;AB;2024;7;3;CA5;9.0;P;10.0;0.9;10.0;IVA canon
1;AB;2024;7;4;CL1;12;M;0.4;4.8;0.0;Clavegueram tram 1
1;AB;2024;7;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2024;8;1;CA1;9;M;0.6;5.4;0.0;Canon tram 1
1;AB;2024;8;2;CA2;2;M;1.2;2.4;0.0;Canon tram 2
1;AB;2024;8;3;CA5;7.8;P;10.0;0.78;10.0;IVA canon
1;AB;2024;8;4;CL1;11;M;0.4;4.4;0.0;Clavegueram tram 1
1;AB;2024;8;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2024;9;1;CA1;9;M;0.6;5.4;0.0;Canon tram 1
1;AB;2024;9;2;CA2;2;M;1.2;2.4;0.0;Canon tram 2
1;AB;2024;9;3;CA5;7.8;P;10.0;0.78;10.0;IVA canon
1;AB;2024;9;4;CL1;11;M;0.4;4.4;0.0;Clavegueram tram 1
1;AB;2024;9;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2024;10;1;CA1;9;M;0.6;5.4;0.0;Canon tram 1
1;AB;2024;10;2;CA5;5.4;P;10.0;0.54;10.0;IVA canon
1;AB;2024;10;3;CL1;9;M;0.4;3.6;0.0;Clavegueram tram 1
1;AB;2024;10;4;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2024;11;1;CA1;9;M;0.6;5.4;0.0;Canon tram 1
1;AB;2024;11;2;CA5;5.4;P;10.0;0.54;10.0;IVA canon
1;AB;2024;11;3;CL1;9;M;0.4;3.6;0.0;Clavegueram tram 1
1;AB;2024;11;4;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2024;12;1;CA1;9;M;0.6;5.4;0.0;Canon tram 1
1;AB;2024;12;2;CA5;5.4;P;10.0;0.54;10.0;IVA canon
1;AB;2024;12;3;CL1;9;M;0.4;3.6;0.0;Clavegueram tram 1
1;AB;2024;12;4;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2025;1;1;CA1;9;M;0.6;5.4;0.0;Canon tram 1
1;AB;2025;1;2;CA5;5.4;P;10.0;0.54;10.0;IVA canon
1;AB;2025;1;3;CL1;9;M;0.4;3.6;0.0;Clavegueram tram 1
1;AB;2025;1;4;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2025;2;1;CA1;9;M;0.6;5.4;0.0;Canon tram 1
1;AB;2025;2;2;CA2;1;M;1.2;1.2;0.0;Canon tram 2
1;AB;2025;2;3;CA5;6.6;P;10.0;0.66;10.0;IVA canon
1;AB;2025;2;4;CL1;10;M;0.4;4.0;0.0;Clavegueram tram 1
1;AB;2025;2;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2025;3;1;CA1;9;M;0.6;5.4;0.0;Canon tram 1
1;AB;2025;3;2;CA2;1;M;1.2;1.2;0.0;Canon tram 2
1;AB;2025;3;3;CA5;6.6;P;10.0;0.66;10.0;IVA canon
1;AB;2025;3;4;CL1;10;M;0.4;4.0;0.0;Clavegueram tram 1
1;AB;2025;3;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2025;4;1;CA1;9;M;0.6;5.4;0.0;Canon tram 1
1;AB;2025;4;2;CA2;1;M;1.2;1.2;0.0;Canon tram 2
1;AB;2025;4;3;CA5;6.6;P;10.0;0.66;10.0;IVA canon
1;AB;2025;4;4;CL1;10;M;0.4;4.0;0.0;Clavegueram tram 1
1;AB;2025;4;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2025;5;1;CA1;9;M;0.6;5.4;0.0;Canon tram 1
1;AB;2025;5;2;CA2;2;M;1.2;2.4;0.0;Canon tram 2
1;AB;2025;5;3;CA5;7.8;P;10.0;0.78;10.0;IVA canon
1;AB;2025;5;4;CL1;11;M;0.4;4.4;0.0;Clavegueram tram 1
1;AB;2025;5;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2025;6;1;CA1;9;M;0.6;5.4;0.0;Canon tram 1
1;AB;2025;6;2;CA2;1;M;1.2;1.2;0.0;Canon tram 2
1;AB;2025;6;3;CA5;6.6;P;10.0;0.66;10.0;IVA canon
1;AB;2025;6;4;CL1;10;M;0.4;4.0;0.0;Clavegueram tram 1
1;AB;2025;6;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2025;7;1;CA1;9;M;0.6;5.4;0.0;Canon tram 1
1;AB;2025;7;2;CA2;2;M;1.2;2.4;0.0;Canon tram 2
1;AB;2025;7;3;CA5;7.8;P;10.0;0.78;10.0;IVA canon
1;AB;2025;7;4;CL1;11;M;0.4;4.4;0.0;Clavegueram tram 1
1;AB;2025;7;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2025;8;1;CA1;9;M;0.6;5.4;0.0;Canon tram 1
1;AB;2025;8;2;CA2;1;M;1.2;1.2;0.0;Canon tram 2
1;AB;2025;8;3;CA5;6.6;P;10.0;0.66;10.0;IVA canon
1;AB;2025;8;4;CL1;10;M;0.4;4.0;0.0;Clavegueram tram 1
1;AB;2025;8;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2025;9;1;CA1;9;M;0.6;5.4;0.0;Canon tram 1
1;AB;2025;9;2;CA2;2;M;1.2;2.4;0.0;Canon tram 2
1;AB;2025;9;3;CA5;7.8;P;10.0;0.78;10.0;IVA canon
1;AB;2025;9;4;CL1;11;M;0.4;4.4;0.0;Clavegueram tram 1
1;AB;2025;9;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2025;10;1;CA1;9;M;0.6;5.4;0.0;Canon tram 1
1;AB;2025;10;2;CA2;2;M;1.2;2.4;0.0;Canon tram 2
1;AB;2025;10;3;CA5;7.8;P;10.0;0.78;10.0;IVA canon
1;AB;2025;10;4;CL1;11;M;0.4;4.4;0.0;Clavegueram tram 1
1;AB;2025;10;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2025;11;1;CA1;9;M;0.6;5.4;0.0;Canon tram 1
1;AB;2025;11;2;CA2;1;M;1.2;1.2;0.0;Canon tram 2
1;AB;2025;11;3;CA5;6.6;P;10.0;0.66;10.0;IVA canon
1;AB;2025;11;4;CL1;10;M;0.4;4.0;0.0;Clavegueram tram 1
1;AB;2025;11;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2025;12;1;CA1;9;M;0.6;5.4;0.0;Canon tram 1
1;AB;2025;12;2;CA2;1;M;1.2;1.2;0.0;Canon tram 2
1;AB;2025;12;3;CA5;6.6;P;10.0;0.66;10.0;IVA canon
1;AB;2025;12;4;CL1;10;M;0.4;4.0;0.0;Clavegueram tram 1
1;AB;2025;12;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2026;1;1;CA1;9;M;0.6;5.4;0.0;Canon tram 1
1;AB;2026;1;2;CA2;1;M;1.2;1.2;0.0;Canon tram 2
1;AB;2026;1;3;CA5;6.6;P;10.0;0.66;10.0;IVA canon
1;AB;2026;1;4;CL1;10;M;0.4;4.0;0.0;Clavegueram tram 1
1;AB;2026;1;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2026;2;1;CA1;9;M;0.6;5.4;0.0;Canon tram 1
1;AB;2026;2;2;CA2;1;M;1.2;1.2;0.0;Canon tram 2
1;AB;2026;2;3;CA5;6.6;P;10.0;0.66;10.0;IVA canon
1;AB;2026;2;4;CL1;10;M;0.4;4.0;0.0;Clavegueram tram 1
1;AB;2026;2;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2026;3;1;CA1;9;M;0.6;5.4;0.0;Canon tram 1
1;AB;2026;3;2;CA2;2;M;1.2;2.4;0.0;Canon tram 2
1;AB;2026;3;3;CA5;7.8;P;10.0;0.78;10.0;IVA canon
1;AB;2026;3;4;CL1;11;M;0.4;4.4;0.0;Clavegueram tram 1
1;AB;2026;3;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2026;4;1;CA1;9;M;0.6;5.4;0.0;Canon tram 1
1;AB;2026;4;2;CA2;2;M;1.2;2.4;0.0;Canon tram 2
1;AB;2026;4;3;CA5;7.8;P;10.0;0.78;10.0;IVA canon
1;AB;2026;4;4;CL1;11;M;0.4;4.4;0.0;Clavegueram tram 1
1;AB;2026;4;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2026;5;1;CA1;9;M;0.6;5.4;0.0;Canon tram 1
1;AB;2026;5;2;CA2;2;M;1.2;2.4;0.0;Canon tram 2
1;AB;2026;5;3;CA5;7.8;P;10.0;0.78;10.0;IVA canon
1;AB;2026;5;4;CL1;11;M;0.4;4.4;0.0;Clavegueram tram 1
1;AB;2026;5;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2026;6;1;CA1;9;M;0.6;5.4;0.0;Canon tram 1
1;AB;2026;6;2;CA2;2;M;1.2;2.4;0.0;Canon tram 2
1;AB;2026;6;3;CA5;7.8;P;10.0;0.78;10.0;IVA canon
1;AB;2026;6;4;CL1;11;M;0.4;4.4;0.0;Clavegueram tram 1
1;AB;2026;6;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2026;7;1;CA1;9;M;0.6;5.4;0.0;Canon tram 1
1;AB;2026;7;2;CA2;1;M;1.2;1.2;0.0;Canon tram 2
1;AB;2026;7;3;CA5;6.6;P;10.0;0.66;10.0;IVA canon
1;AB;2026;7;4;CL1;10;M;0.4;4.0;0.0;Clavegueram tram 1
1;AB;2026;7;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2026;8;1;CA1;9;M;0.6;5.4;0.0;Canon tram 1
1;AB;2026;8;2;CA2;2;M;1.2;2.4;0.0;Canon tram 2
1;AB;2026;8;3;CA5;7.8;P;10.0;0.78;10.0;IVA canon
1;AB;2026;8;4;CL1;11;M;0.4;4.4;0.0;Clavegueram tram 1
1;AB;2026;8;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2022;13;1;CA1;9;M;0.5;4.5;0.0;Canon tram 1
1;AB;2022;13;2;CA2;6;M;1.0;6.0;0.0;Canon tram 2
1;AB;2022;13;3;CA6;3;M;2.0;6.0;0.0;Canon tram 3
1;AB;2022;13;4;CA7;12;M;3.5;42.0;0.0;Canon tram 4
1;AB;2022;13;5;CA5;58.5;P;10.0;5.85;10.0;IVA canon
1;AB;2022;13;6;CL1;36;M;0.4;14.4;0.0;Clavegueram tram 1
1;AB;2022;13;7;CL2;21;M;0.6;12.6;0.0;Clavegueram tram 2
1;AB;2022;13;8;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2022;14;1;CA1;9;M;0.5;4.5;0.0;Canon tram 1
1;AB;2022;14;2;CA2;6;M;1.0;6.0;0.0;Canon tram 2
1;AB;2022;14;3;CA6;3;M;2.0;6.0;0.0;Canon tram 3
1;AB;2022;14;4;CA7;12;M;3.5;42.0;0.0;Canon tram 4
1;AB;2022;14;5;CA5;58.5;P;10.0;5.85;10.0;IVA canon
1;AB;2022;14;6;CL1;38;M;0.4;15.2;0.0;Clavegueram tram 1
1;AB;2022;14;7;CL2;23;M;0.6;13.8;0.0;Clavegueram tram 2
1;AB;2022;14;8;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2022;15;1;CA1;9;M;0.5;4.5;0.0;Canon tram 1
1;AB;2022;15;2;CA2;6;M;1.0;6.0;0.0;Canon tram 2
1;AB;2022;15;3;CA6;3;M;2.0;6.0;0.0;Canon tram 3
1;AB;2022;15;4;CA7;12;M;3.5;42.0;0.0;Canon tram 4
1;AB;2022;15;5;CA5;58.5;P;10.0;5.85;10.0;IVA canon
1;AB;2022;15;6;CL1;34;M;0.4;13.6;0.0;Clavegueram tram 1
