POLISSA_SUBM;TS_PADRO_TRR;TIP_TAXA_TRR;NOMB_HABIT_SUBM;CONSUM_MES_BASE;TIP_QUOTA_TRR;CONSUM_MIG_DIA;NUMERO_EMPLEAT;SECCIO;EPIGRAF_IAE;PERC_BONIF_TRR
S000000025;2021-02-26 00:00:00;G;1;20;BAS;0.7;EMP001;;;0
S000000026;2022-03-27 00:00:00;G;1;20;BAS;0.7;EMP001;;;0
S000000027;2023-04-28 00:00:00;G;2;20;BAS;0.7;EMP001;;;0
S000000028;2024-05-01 00:00:00;G;2;20;BAS;0.7;EMP001;;;0
S000000029;2025-06-02 00:00:00;G;1;20;BAS;0.7;EMP001;;;0
S000000030;2020-07-03 00:00:00;G;4;20;BAS;0.7;EMP001;;;0
S000000031;2021-08-04 00:00:00;G;1;20;BAS;0.7;EMP001;;;0
S000000032;2022-09-05 00:00:00;G;2;20;BAS;0.7;EMP001;;;0
S000000033;2023-10-06 00:00:00;G;1;20;BAS;0.7;EMP001;;;0
S000000034;2024-11-07 00:00:00;G;3;20;BAS;0.7;EMP001;;;0
S000000035;2025-12-08 00:00:00;G;1;20;BAS;0.7;EMP001;;;0
S000000036;2020-01-09 00:00:00;G;4;20;BAS;0.7;EMP001;;;0
S000000037;2021-02-10 00:00:00;G;6;20;BAS;0.7;EMP001;;;0
S000000038;2022-03-11 00:00:00;G;6;20;BAS;0.7;EMP001;;;0
S000000039;2023-04-12 00:00:00;G;2;20;BAS;0.7;EMP001;;;0
S000000040;2024-05-13 00:00:00;G;1;20;BAS;0.7;EMP001;;;0
S000000041;2025-06-14 00:00:00;G;3;20;BAS;0.7;EMP001;;;0
S000000042;2020-07-15 00:00:00;G;2;20;BAS;0.7;EMP001;;;0
S000000043;2021-08-16 00:00:00;G;2;20;BAS;0.7;EMP001;;;0
S000000044;2022-09-17 00:00:00;G;5;20;BAS;0.7;EMP001;;;0
S000000045;2023-10-18 00:00:00;G;4;20;BAS;0.7;EMP001;;;0
S000000046;2024-11-19 00:00:00;G;1;20;BAS;0.7;EMP001;;;0
S000000047;2025-12-20 00:00:00;G;3;20;BAS;0.7;EMP001;;;0
S000000048;2020-01-21 00:00:00;G;4;20;BAS;0.7;EMP001;;;0
S000000049;2021-02-22 00:00:00;G;2;20;BAS;0.7;EMP001;;;0
S000000050;2022-03-23 00:00:00;G;4;20;BAS;0.7;EMP001;;;0
S000000051;2023-04-24 00:00:00;G;4;20;BAS;0.7;EMP001;;;0
S000000052;2024-05-25 00:00:00;G;5;20;BAS;0.7;EMP001;;;0
S000000053;2025-06-26 00:00:00;G;2;20;BAS;0.7;EMP001;;;0
S000000054;2020-07-27 00:00:00;G;1;20;BAS;0.7;EMP001;;;0
S000000055;2021-08-28 00:00:00;G;4;20;BAS;0.7;EMP001;;;0
S000000056;2022-09-01 00:00:00;G;2;20;BAS;0.7;EMP001;;;0
S000000057;2023-10-02 00:00:00;G;5;20;BAS;0.7;EMP001;;;0
S000000058;2024-11-03 00:00:00;G;2;20;BAS;0.7;EMP001;;;0
S000000059;2025-12-04 00:00:00;G;3;20;BAS;0.7;EMP001;;;0
S000000060;2020-01-05 00:00:00;G;2;20;BAS;0.7;EMP001;;;0
S000000061;2021-02-06 00:00:00;G;5;20;BAS;0.7;EMP001;;;0
S000000062;2022-03-07 00:00:00;G;6;20;BAS;0.7;EMP001;;;0
S000000063;2023-04-08 00:00:00;G;2;20;BAS;0.7;EMP001;;;0
S000000064;2024-05-09 00:00:00;G;2;20;BAS;0.7;EMP001;;;0
S000000065;2025-06-10 00:00:00;G;6;20;BAS;0.7;EMP001;;;0
S000000066;2020-07-11 00:00:00;G;3;20;BAS;0.7;EMP001;;;0
S000000067;2021-08-12 00:00:00;G;2;20;BAS;0.7;EMP001;;;0
S000000068;2022-09-13 00:00:00;G;3;20;BAS;0.7;EMP001;;;0
S000000069;2023-10-14 00:00:00;G;3;20;BAS;0.7;EMP001;;;0
S000000070;2024-11-15 00:00:00;G;4;20;BAS;0.7;EMP001;;;0
S000000071;2025-12-16 00:00:00;G;0;20;BAS;0.7;EMP001;;;0
S000000072;2020-01-17 00:00:00;G;0;20;BAS;0.7;EMP001;;;0
S000000073;2021-02-18 00:00:00;G;0;20;BAS;0.7;EMP001;;;0
S000000074;2022-03-19 00:00:00;G;0;20;BAS;0.7;EMP001;;;0
S000000075;2023-04-20 00:00:00;G;0;20;BAS;0.7;EMP001;;;0
S000000076;2024-05-21 00:00:00;G;0;20;BAS;0.7;EMP001;;;0
S000000077;2025-06-22 00:00:00;G;0;20;BAS;0.7;EMP001;;;0
S000000078;2020-07-23 00:00:00;G;0;20;BAS;0.7;EMP001;;;0
S000000079;2021-08-24 00:00:00;G;0;20;BAS;0.7;EMP001;;;0
S000000080;2022-09-25 00:00:00;G;0;20;BAS;0.7;EMP001;;;0
S000000081;2023-10-26 00:00:00;G;0;20;BAS;0.7;EMP001;;;0
S000000082;2024-11-27 00:00:00;G;0;20;BAS;0.7;EMP001;;;0
S000000083;2025-12-28 00:00:00;G;0;20;BAS;0.7;EMP001;;;0
S000000084;2020-01-01 00:00:00;G;0;20;BAS;0.7;EMP001;;;0
S000000085;2021-02-02 00:00:00;G;0;20;BAS;0.7;EMP001;;;0
S000000086;2022-03-03 00:00:00;G;0;20;BAS;0.7;EMP001;;;0
S000000087;2023-04-04 00:00:00;G;0;20;BAS;0.7;EMP001;;;0
S000000088;2024-05-05 00:00:00;G;0;20;BAS;0.7;EMP001;;;0
S000000089;2025-06-06 00:00:00;G;0;20;BAS;0.7;EMP001;;;0
S000000090;2020-07-07 00:00:00;G;0;20;BAS;0.7;EMP001;;;0
S000000091;2021-08-08 00:00:00;G;0;20;BAS;0.7;EMP001;;;0
S000000092;2022-09-09 00:00:00;G;0;20;BAS;0.7;EMP001;;;0
S000000093;2023-10-10 00:00:00;G;0;20;BAS;0.7;EMP001;;;0
S000000094;2024-11-11 00:00:00;G;0;20;BAS;0.7;EMP001;;;0
S000000095;2025-12-12 00:00:00;G;0;20;BAS;0.7;EMP001;;;0
S000000096;2020-01-13 00:00:00;G;0;20;BAS;0.7;EMP001;;;0
S000000097;2021-02-14 00:00:00;G;0;20;BAS;0.7;EMP001;;;0
S000000098;2022-03-15 00:00:00;G;0;20;BAS;0.7;EMP001;;;0
S000000099;2023-04-16 00:00:00;G;0;20;BAS;0.7;EMP001;;;0
S000000100;2024-05-17 00:00:00;G;0;20;BAS;0.7;EMP001;;;0
